Institution,Rank,Class,Country,Size,Academic,Employer,Faculty student,IRN,Citations per paper,Papers per faculty,Staff with PhD,International faculty,International students,Inbound,Outbound
Nakhon Phanom University,1101-1200,B,Thailand,S,1.6,,100,9.6,2.4,1.7,4.2,1.8,5.8,2.8,8.2
Rajamangala University of Technology Phra Nakhon (RMUTP),1101-1200,B,Thailand,M,16.9,15.1,15.9,13.6,3.6,3.7,26.6,3.4,5.7,1.8,1.3
Rangsit University,1101-1200,B,Thailand,L,18.7,8.9,11.7,17,4.4,4.7,25.3,13.6,49.7,6,2.5
Stamford International University,1101-1200,B,Thailand,S,5.6,9.3,10.2,3,,3,38,100,100,11.9,1
The Cebu Technological University (CTU),1101-1200,B,Philippines,XL,14.4,16.5,2.8,21.1,11.1,2,21.6,1.2,1,1,1
Thuongmai University,1101-1200,B,Viet Nam,L,3,5.5,4.4,23.4,76,3.5,5.6,,,1,1.1
Universitas Islam Malang (UNISMA),1101-1200,B,Indonesia,L,11.4,5.2,5.9,10.2,1.9,3.7,17.8,10.3,5.7,93.9,78.2
Universitas Mercu Buana,1101-1200,B,Indonesia,L,23.7,8,17.6,7.2,3.3,6,7.4,,6.5,7.9,7.1
Universiti Selangor (UNISEL),1101-1200,B,Malaysia,S,6.3,4.1,63.9,19.6,6.9,3,5.5,4.2,32.1,1,1
Visayas State University,1101-1200,B,Philippines,M,20.6,7.4,16.2,3.1,21.7,2.6,6.1,,1.3,1,1
Widya Mandala Catholic University Surabaya,1101-1200,B,Indonesia,M,16,15.3,11.6,23.6,24.6,6.9,,,,1,1
Angeles University Foundation,1201-1300,B,Philippines,M,9.4,15.4,23.6,2.6,6.8,2.5,3.5,,34,1,1
Bangkokthonburi University,1201-1300,B,Thailand,L,4.5,6.2,11.3,12.1,,1.2,18.1,5.2,61.4,100,1
Banking Academy of Vietnam,1201-1300,B,Viet Nam,L,2,5.5,4.3,9.1,73.2,2.5,,,,1,1.1
Central Philippine University,1201-1300,B,Philippines,M,14.6,19.1,14.1,,,1.1,2.7,1.4,9.2,12.5,19.3
"National University, Philippines",1201-1300,B,Philippines,XL,15,11.7,11.1,9.8,7.9,2,1.3,1,2.2,1,1
Nusa Putra University,1201-1300,B,Indonesia,M,10.9,4.6,13.9,3.7,1.1,3.3,10.8,47,31.2,82.6,46
Politeknik Negeri Jakarta,1201-1300,B,Indonesia,M,8.8,9.1,32.1,12.6,1.4,4.4,3,,,6.4,30.9
President University,1201-1300,B,Indonesia,M,8.3,10.2,9.4,14.7,3.8,5.1,15.3,20.4,32.8,13.7,39.9
Quest International University (QIU),1201-1300,B,Malaysia,S,3,1.4,56.7,16,19.4,6.6,,,,1,1
Ramkhamhaeng University,1201-1300,B,Thailand,XL,14.1,15,,28.8,5.7,3.2,,,,1,1
Sanata Dharma University,1201-1300,B,Indonesia,M,20.8,17.1,,14.3,2.4,2.9,,,,1,1
Universitas Muhammadiyah Makassar,1201-1300,B,Indonesia,L,13.4,2.2,19.5,6.7,2.4,2.2,17.5,22.5,5.9,30.9,18
Universitas Nahdlatul Ulama Surabaya (UNUSA),1201-1300,B,Indonesia,S,6.4,4.4,19,17.7,7.5,9.5,7.4,56.6,2.7,24.6,3.1
Universitas Negeri Makassar,1201-1300,B,Indonesia,XL,16.9,9.8,2.9,18.1,2.4,7.6,,,,1,1
Universitas Sam Ratulangi Manado,1201-1300,B,Indonesia,L,15.2,10.6,17.9,28.4,3.4,3.2,,,,1,1
University of Bengkulu,1201-1300,B,Indonesia,L,11.1,4.9,30.8,20.4,1.7,5.4,11.4,,1.3,1,1.3
